,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
0,7070,4.0,29,0,2,101,4,4,0.0,0.0,0.0,0.0,66.0,16.0,0.0,16.0,2.0,0
1,13010,4.0,9,0,2,36,4,2,0.0,0.0,0.0,0.0,24.0,5.0,0.0,5.0,1.0,1
2,6688,4.0,10,7,1,43,2,4,5.0,0.0,2.0,1.0,27.0,3.0,1.0,3.0,0.0,0
3,9976,4.0,30,2,1,108,3,2,1.0,1.0,0.0,0.0,73.0,16.0,1.0,15.0,0.0,0
4,5175,4.0,20,4,2,70,7,2,2.0,2.0,0.0,0.0,44.0,10.0,2.0,8.0,1.0,0
5,19353,3.0,3,0,1,15,1,0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,1
6,13415,4.0,26,4,3,95,7,3,2.0,0.0,1.0,0.0,58.0,15.0,2.0,14.0,2.0,1
7,3087,4.0,20,26,2,92,3,4,19.0,6.0,1.0,6.0,40.0,9.0,1.0,9.0,0.0,0
8,16578,4.0,32,6,3,111,7,6,2.0,0.0,3.0,1.0,71.0,14.0,3.0,14.0,2.0,1
9,17174,4.0,11,2,3,44,2,4,1.0,0.0,1.0,0.0,28.0,6.0,1.0,6.0,0.0,1
10,19607,4.0,26,4,2,94,7,3,1.0,0.0,2.0,0.0,60.0,13.0,3.0,12.0,2.0,1
11,3187,4.0,8,19,1,48,2,4,18.0,0.0,1.0,0.0,20.0,4.0,1.0,3.0,0.0,0
12,16881,3.0,4,3,2,24,2,0,2.0,1.0,0.0,1.0,13.0,3.0,0.0,3.0,0.0,1
13,2030,4.0,14,6,2,63,5,1,5.0,0.0,1.0,0.0,39.0,8.0,1.0,8.0,0.0,0
14,7486,4.0,18,7,3,73,6,2,6.0,0.0,0.0,0.0,42.0,12.0,1.0,11.0,0.0,0
15,245,4.0,26,25,2,118,3,16,12.0,8.0,5.0,8.0,53.0,12.0,5.0,12.0,2.0,0
16,17090,4.0,23,4,2,84,7,4,2.0,0.0,1.0,0.0,51.0,13.0,2.0,12.0,2.0,1
17,15105,4.0,4,10,3,32,3,4,6.0,0.0,4.0,0.0,11.0,2.0,4.0,2.0,2.0,1
18,19568,3.0,1,1,2,19,2,2,0.0,0.0,1.0,1.0,9.0,3.0,0.0,4.0,0.0,1
19,15764,4.0,10,0,4,44,3,2,0.0,0.0,0.0,0.0,29.0,7.0,0.0,7.0,0.0,1
20,14873,3.0,10,0,2,34,3,2,0.0,0.0,0.0,0.0,21.0,6.0,0.0,6.0,0.0,1
21,10936,4.0,25,24,4,104,4,6,16.0,7.0,1.0,7.0,51.0,9.0,1.0,9.0,2.0,1
22,15580,4.0,18,0,2,71,4,4,0.0,0.0,0.0,0.0,48.0,10.0,0.0,10.0,2.0,1
23,10352,4.0,12,2,3,56,4,4,1.0,0.0,1.0,0.0,38.0,6.0,1.0,6.0,2.0,1
24,18270,4.0,14,0,1,46,4,4,0.0,0.0,0.0,0.0,31.0,6.0,0.0,6.0,2.0,1
25,15062,4.0,15,12,4,78,4,5,6.0,1.0,5.0,1.0,39.0,9.0,5.0,9.0,2.0,1
26,3736,4.0,38,0,1,136,6,3,0.0,0.0,0.0,0.0,87.0,23.0,0.0,23.0,2.0,0
27,16444,4.0,27,4,3,103,7,3,2.0,0.0,2.0,0.0,62.0,16.0,2.0,16.0,2.0,1
28,8088,4.0,12,0,2,43,3,2,0.0,0.0,0.0,0.0,28.0,7.0,0.0,7.0,0.0,0
29,17570,5.0,45,19,11,200,5,4,3.0,14.0,2.0,16.0,129.0,16.0,0.0,17.0,2.0,1
30,15430,4.0,6,0,1,33,3,4,0.0,0.0,0.0,0.0,22.0,4.0,0.0,4.0,2.0,1
31,9853,4.0,28,41,14,161,4,2,24.0,12.0,5.0,14.0,71.0,15.0,3.0,16.0,0.0,0
32,11209,4.0,24,2,7,121,7,14,0.0,0.0,1.0,2.0,63.0,23.0,0.0,24.0,7.0,1
33,1562,4.0,11,0,2,39,3,1,0.0,0.0,0.0,0.0,28.0,5.0,0.0,5.0,0.0,0
34,16780,3.0,5,0,3,35,2,2,0.0,0.0,0.0,0.0,24.0,5.0,0.0,5.0,0.0,1
35,14161,4.0,12,1,4,53,5,3,0.0,0.0,0.0,0.0,34.0,8.0,1.0,7.0,2.0,1
36,18962,4.0,16,0,3,59,7,3,0.0,0.0,0.0,0.0,36.0,10.0,0.0,10.0,2.0,1
37,5623,3.0,3,0,1,13,2,1,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,0
38,17823,4.0,35,7,4,123,7,3,4.0,0.0,2.0,0.0,78.0,17.0,3.0,16.0,2.0,1
39,8452,3.0,18,0,1,50,3,5,0.0,0.0,0.0,0.0,35.0,7.0,0.0,7.0,0.0,0
40,6699,4.0,19,0,2,60,2,3,0.0,0.0,0.0,0.0,49.0,5.0,0.0,5.0,0.0,0
41,2755,4.0,14,0,2,42,4,1,0.0,0.0,0.0,0.0,31.0,5.0,0.0,5.0,0.0,0
42,3212,4.0,17,10,2,69,3,3,9.0,0.0,1.0,1.0,38.0,9.0,0.0,10.0,0.0,0
43,2694,4.0,18,0,4,50,5,1,0.0,0.0,0.0,0.0,33.0,8.0,0.0,8.0,0.0,0
44,17841,4.0,17,3,4,83,7,4,1.0,0.0,2.0,0.0,52.0,12.0,2.0,11.0,2.0,1
45,10934,4.0,22,0,5,58,1,0,0.0,0.0,0.0,0.0,47.0,5.0,0.0,5.0,0.0,1
46,17591,3.0,6,0,1,16,1,0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,1
47,10774,4.0,13,1,2,50,3,3,0.0,0.0,1.0,1.0,35.0,6.0,0.0,6.0,0.0,1
48,19939,4.0,19,3,3,75,7,3,1.0,0.0,1.0,1.0,46.0,11.0,1.0,11.0,2.0,1
49,4721,4.0,27,0,2,94,4,4,0.0,0.0,0.0,0.0,61.0,15.0,0.0,15.0,2.0,0
50,14530,4.0,7,1,3,41,3,3,0.0,0.0,1.0,1.0,26.0,5.0,0.0,6.0,1.0,1
51,15529,4.0,35,3,4,121,8,3,0.0,0.0,2.0,0.0,78.0,18.0,3.0,17.0,2.0,1
52,11506,4.0,24,27,2,119,7,5,19.0,8.0,0.0,7.0,60.0,11.0,1.0,10.0,2.0,1
53,10603,4.0,7,0,2,30,3,2,0.0,0.0,0.0,0.0,20.0,5.0,0.0,4.0,0.0,1
54,5965,4.0,9,5,2,34,2,2,4.0,0.0,1.0,1.0,20.0,3.0,0.0,4.0,0.0,0
