,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
0,0,4.0,9,3,1,37,3,5,2.0,0.0,1.0,1.0,22.0,4.0,0.0,4.0,2.0,1
1,1,3.0,4,0,2,22,3,2,0.0,0.0,0.0,0.0,13.0,3.0,0.0,3.0,2.0,0
2,2,3.0,5,0,2,32,3,5,0.0,0.0,0.0,0.0,18.0,6.0,0.0,5.0,2.0,0
3,3,3.0,8,0,2,34,3,4,0.0,0.0,0.0,0.0,22.0,5.0,0.0,4.0,2.0,0
4,4,3.0,14,0,2,43,3,3,0.0,0.0,0.0,0.0,33.0,4.0,0.0,3.0,2.0,0
5,5,4.0,20,1,3,62,6,3,0.0,1.0,0.0,1.0,39.0,9.0,0.0,9.0,2.0,0
6,6,3.0,13,0,2,45,3,5,0.0,0.0,0.0,0.0,31.0,6.0,0.0,5.0,2.0,0
7,7,3.0,8,0,2,31,3,3,0.0,0.0,0.0,0.0,20.0,4.0,0.0,4.0,2.0,0
8,8,4.0,8,0,2,36,3,4,0.0,0.0,0.0,0.0,23.0,5.0,0.0,5.0,2.0,0
9,9,4.0,25,1,2,83,7,5,0.0,0.0,0.0,0.0,56.0,12.0,1.0,11.0,2.0,0
10,10,4.0,9,3,1,37,3,5,2.0,0.0,1.0,1.0,22.0,4.0,0.0,4.0,2.0,1
11,11,3.0,6,0,2,27,4,3,0.0,0.0,0.0,0.0,15.0,5.0,0.0,4.0,2.0,1
12,12,3.0,4,0,2,22,3,2,0.0,0.0,0.0,0.0,13.0,3.0,0.0,3.0,2.0,0
13,13,3.0,3,0,2,22,3,2,0.0,0.0,0.0,0.0,13.0,3.0,0.0,3.0,2.0,1
